zone_id,zone_nom,taux_utilisation,nb_pylones_satures,nb_pylones_total,anomaly_score,statut,timestamp
37,Zaghouan,7.70,0,2,1.0000,NORMAL,2026-04-15T21:50:47.072794
34,Nabeul Centre,5.14,0,2,1.0000,NORMAL,2026-04-15T21:50:54.412451
38,Bizerte Centre,5.01,0,3,1.0000,NORMAL,2026-04-15T21:51:00.591127
31,Ben Arous Centre,3.95,1,2,0.7460,ATTENTION,2026-04-15T21:51:07.086528
41,Jendouba Centre,2.68,0,2,1.0000,NORMAL,2026-04-15T21:51:16.401024
40,Béja Centre,4.32,0,2,1.0000,NORMAL,2026-04-15T21:51:22.835662
24,Tunis Centre,8.12,0,4,0.8950,NORMAL,2026-04-15T21:51:29.200289
32,Ben Arous Rades,4.98,0,2,0.8710,NORMAL,2026-04-15T21:51:36.163374
43,Siliana Centre,5.26,0,2,1.0000,NORMAL,2026-04-15T21:51:42.695453
28,Tunis Bab Bhar,5.48,0,3,1.0000,NORMAL,2026-04-15T21:51:49.288433
46,Monastir Centre,4.08,0,2,1.0000,NORMAL,2026-04-15T21:51:56.37779
39,Bizerte Menzel,8.54,0,2,1.0000,NORMAL,2026-04-15T21:52:02.616164
42,Kef Centre,6.22,0,2,1.0000,NORMAL,2026-04-15T21:52:09.531749
26,Tunis Les Lacs,5.04,0,3,0.8770,NORMAL,2026-04-15T21:52:17.380929
35,Hammamet,6.35,0,3,1.0000,NORMAL,2026-04-15T21:52:23.774414
25,Tunis La Marsa,4.74,0,3,1.0000,NORMAL,2026-04-15T21:52:30.674513
29,Ariana Centre,8.28,0,3,1.0000,NORMAL,2026-04-15T21:52:38.856998
48,Mahdia Centre,5.81,0,2,0.8810,NORMAL,2026-04-15T21:52:45.820124
33,Manouba Centre,5.48,0,2,1.0000,NORMAL,2026-04-15T21:52:52.03147
44,Sousse Centre,8.02,0,3,1.0000,NORMAL,2026-04-15T21:52:58.081085
30,Ariana Riadh,5.27,0,2,1.0000,NORMAL,2026-04-15T21:53:03.007504
27,Tunis El Menzah,5.24,0,2,1.0000,NORMAL,2026-04-15T21:53:07.802601
47,Monastir Aéroport,2.61,0,2,1.0000,NORMAL,2026-04-15T21:53:17.498918
36,Kelibia,6.72,0,2,0.8820,NORMAL,2026-04-15T21:53:25.212725
45,Sousse Khezama,6.77,0,2,1.0000,NORMAL,2026-04-15T21:53:31.338385
60,Djerba Midoun,7.91,0,3,0.8930,NORMAL,2026-04-15T21:53:37.747538
54,Sfax Route Tunis,6.08,0,2,1.0000,NORMAL,2026-04-15T21:53:44.697094
57,Gabès Sud,7.19,0,2,1.0000,NORMAL,2026-04-15T21:53:53.303622
64,Gafsa Centre,7.04,0,2,1.0000,NORMAL,2026-04-15T21:54:00.078712
58,Médenine Centre,4.59,0,2,0.8670,NORMAL,2026-04-15T21:54:06.140782
55,Sfax Sakiet,7.90,1,2,0.8590,ATTENTION,2026-04-15T21:54:12.720034
61,Djerba Aéroport,8.03,0,2,1.0000,NORMAL,2026-04-15T21:54:20.537056
63,Tataouine Centre,6.56,0,2,1.0000,NORMAL,2026-04-15T21:54:29.308145
49,Kairouan Centre,7.18,0,3,0.8950,NORMAL,2026-04-15T21:54:37.061402
65,Tozeur Centre,5.10,0,2,1.0000,NORMAL,2026-04-15T21:54:44.430589
53,Sfax Centre,5.54,0,3,0.9050,NORMAL,2026-04-15T21:54:51.545384
51,Kasserine Centre,6.06,0,2,1.0000,NORMAL,2026-04-15T21:54:59.177768
62,Zarzis,5.27,0,2,1.0000,NORMAL,2026-04-15T21:55:06.099212
59,Djerba Houmt Souk,5.73,0,2,1.0000,NORMAL,2026-04-15T21:55:13.7885
66,Kebili Centre,11.23,0,2,1.0000,NORMAL,2026-04-15T21:55:21.919368
50,Kairouan Nord,6.48,0,2,1.0000,NORMAL,2026-04-15T21:55:28.338194
52,Sidi Bouzid Centre,7.07,0,2,0.8970,NORMAL,2026-04-15T21:55:34.692066
56,Gabès Centre,8.35,0,3,0.8330,NORMAL,2026-04-15T21:55:42.724273
32,Ben Arous Rades,3.81,0,2,1.0000,NORMAL,2026-04-15T21:55:50.296944
43,Siliana Centre,5.29,0,2,1.0000,NORMAL,2026-04-15T21:55:58.898416
28,Tunis Bab Bhar,3.93,0,3,1.0000,NORMAL,2026-04-15T21:56:04.974694
46,Monastir Centre,4.48,0,2,1.0000,NORMAL,2026-04-15T21:56:10.954307
39,Bizerte Menzel,9.41,1,2,0.8620,ATTENTION,2026-04-15T21:56:17.470444
42,Kef Centre,7.02,0,2,1.0000,NORMAL,2026-04-15T21:56:24.105971
26,Tunis Les Lacs,7.28,1,3,1.0000,ATTENTION,2026-04-15T21:56:30.167906
35,Hammamet,8.71,1,3,0.8080,ATTENTION,2026-04-15T21:56:36.166277
25,Tunis La Marsa,3.83,0,3,0.8790,NORMAL,2026-04-15T21:56:42.442661
29,Ariana Centre,4.08,0,3,0.8730,NORMAL,2026-04-15T21:56:48.950055
48,Mahdia Centre,5.61,0,2,0.9060,NORMAL,2026-04-15T21:56:57.345604
33,Manouba Centre,5.14,0,2,1.0000,NORMAL,2026-04-15T21:57:04.057938
44,Sousse Centre,8.50,0,3,0.8280,NORMAL,2026-04-15T21:57:10.922525
30,Ariana Riadh,3.49,0,2,1.0000,NORMAL,2026-04-15T21:57:17.718821
27,Tunis El Menzah,6.16,1,2,0.8460,ATTENTION,2026-04-15T21:57:27.589766
47,Monastir Aéroport,8.35,1,2,0.9010,ATTENTION,2026-04-15T21:57:35.284033
36,Kelibia,4.57,0,2,1.0000,NORMAL,2026-04-15T21:57:42.805542
45,Sousse Khezama,6.11,0,2,1.0000,NORMAL,2026-04-15T21:57:49.31472
37,Zaghouan,7.86,0,2,0.9000,NORMAL,2026-04-15T21:57:55.849775
34,Nabeul Centre,5.64,0,2,0.9000,NORMAL,2026-04-15T21:58:05.095788
38,Bizerte Centre,10.63,1,3,0.8910,ATTENTION,2026-04-15T21:58:12.78701
31,Ben Arous Centre,4.44,0,2,1.0000,NORMAL,2026-04-15T21:58:18.817354
41,Jendouba Centre,6.09,0,2,1.0000,NORMAL,2026-04-15T21:58:26.553819
40,Béja Centre,9.25,1,2,0.8210,ATTENTION,2026-04-15T21:58:34.127028
24,Tunis Centre,9.63,0,4,1.0000,NORMAL,2026-04-15T21:58:41.154254
60,Djerba Midoun,7.61,0,3,1.0000,NORMAL,2026-04-15T21:58:48.568855
54,Sfax Route Tunis,7.34,1,2,0.8760,ATTENTION,2026-04-15T21:58:54.666765
57,Gabès Sud,8.93,1,2,0.8470,ATTENTION,2026-04-15T21:59:00.400843
64,Gafsa Centre,8.41,0,2,1.0000,NORMAL,2026-04-15T21:59:06.659534
58,Médenine Centre,5.66,0,2,1.0000,NORMAL,2026-04-15T21:59:12.860497
55,Sfax Sakiet,5.58,1,2,0.7380,ATTENTION,2026-04-15T21:59:19.77673
61,Djerba Aéroport,8.51,0,2,1.0000,NORMAL,2026-04-15T21:59:26.096712
63,Tataouine Centre,9.86,0,2,1.0000,NORMAL,2026-04-15T21:59:32.860131
49,Kairouan Centre,8.11,0,3,0.8710,NORMAL,2026-04-15T21:59:39.63776
65,Tozeur Centre,12.89,1,2,1.0000,ATTENTION,2026-04-15T21:59:46.324875
53,Sfax Centre,3.59,0,3,1.0000,NORMAL,2026-04-15T21:59:55.66371
51,Kasserine Centre,7.02,0,2,1.0000,NORMAL,2026-04-15T22:00:02.562913
62,Zarzis,9.29,0,2,1.0000,NORMAL,2026-04-15T22:00:10.097895
